,metamembership
MGH85-P3-D04-MGH85,-2.0
BT920-P4-D12-BT920,-2.0
MGH125-P3-B04-MGH125,-2.0
MGH143CD45neg-P9-C02-MGH143,-2.0
MGH125-P2-C02-MGH125,-2.0
BT749-P8-G11-BT749,-2.0
MGH104-P6-A12-MGH104,-2.0
MGH113-P9-D12-MGH113,-2.0
BT749-P9-F11-BT749,-2.0
BT786-P5-H03-BT786,-2.0
BT1160-P2-G08-BT1160,-2.0
MGH125-P7-A07-MGH125,-2.0
MGH128CD45neg-P4-F05-MGH128,-2.0
BT1160-P2-H05-BT1160,-2.0
MGH113-P10-A09-MGH113,-2.0
BT1160-P1-F10-BT1160,-2.0
MGH152CD45neg-P1-C08-MGH152,-2.0
MGH85-P2-H04-MGH85,-2.0
BT786-P6-E06-BT786,-2.0
BT749-P8-D07-BT749,-2.0
BT786-P6-A02-BT786,-2.0
MGH113-P8-C12-MGH113,-2.0
MGH85-P6-D08-MGH85,-2.0
MGH125-P7-C09-MGH125,-2.0
MGH104-P5-F12-MGH104,-2.0
MGH152CD45neg-P2-F01-MGH152,-2.0
BT920-P4-F04-BT920,-2.0
MGH121-P3-C01-MGH121,-2.0
BT749-P7-E01-BT749,-2.0
BT830-P3-H10-BT830,-2.0
MGH152CD45neg-P1-C06-MGH152,-2.0
MGH104-P5-C01-MGH104,-2.0
BT920-P4-C07-BT920,-2.0
MGH121-P5-F06-MGH121,-2.0
MGH100-P5-A12-MGH100,-2.0
BT920-P4-C06-BT920,-2.0
BT830-P3-A07-BT830,-2.0
MGH66-P06-C07-MGH66,-2.0
MGH110-P1-F07-MGH110,-2.0
MGH128CD45neg-P3-A07-MGH128,-2.0
MGH152CD45neg-P3-A03-MGH152,-2.0
MGH113-P8-D12-MGH113,-2.0
MGH121-P5-H04-MGH121,-2.0
MGH105C-P3-D01-MGH105,-2.0
BT920-P3-C06-BT920,-2.0
BT1160-P4-B04-BT1160,-2.0
BT1160-P4-G07-BT1160,-2.0
MGH104negP2-B02-MGH104,-2.0
MGH102-P3-F12-MGH102,-2.0
BT1160-P3-A03-BT1160,-2.0
BT1160-P4-F09-BT1160,-2.0
MGH113-P9-F05-MGH113,-2.0
BT1160-P3-E09-BT1160,-2.0
MGH113-P10-D05-MGH113,-2.0
MGH110-P2-E11-MGH110,-2.0
MGH113-P8-F10-MGH113,-2.0
MGH113-P9-F12-MGH113,-2.0
MGH85-P6-A03-MGH85,-2.0
MGH128CD45neg-P4-A10-MGH128,-2.0
BT1160-P4-D04-BT1160,-2.0
MGH143CD45neg-P10-C01-MGH143,-2.0
BT749-P10-F02-BT749,-2.0
MGH124-P9-C12-MGH124,-2.0
MGH110-P5-B04-MGH110,-2.0
MGH85-P2-G04-MGH85,-2.0
BT830-P4-H07-BT830,-2.0
BT749-P8-C12-BT749,-2.0
MGH124-CD45negP2-D11-MGH124,-2.0
MGH129CD45neg-P3-A06-MGH129,-2.0
BT1160-P4-A04-BT1160,-2.0
BT786-P5-H08-BT786,-2.0
BT749-P11-F08-BT749,-2.0
MGH66-P05-B06-MGH66,-2.0
MGH128CD45neg-P5-F02-MGH128,-2.0
MGH122-P6-B02-MGH122,-2.0
MGH100-P8-F09-MGH100,-2.0
MGH100-P9-B08-MGH100,-2.0
BT1160-P1-E07-BT1160,-2.0
MGH115-P3-A04-MGH115,-2.0
MGH121-P3-C07-MGH121,-2.0
MGH100-P5-A07-MGH100,-2.0
MGH152CD45neg-P3-B04-MGH152,-2.0
MGH143CD45neg-P12-A11-MGH143,-2.0
BT920-P3-D09-BT920,-2.0
MGH151CD45neg-P9-H03-MGH151,-2.0
MGH152CD45neg-P3-F03-MGH152,-2.0
BT786-P4-B01-BT786,-2.0
MGH152CD45neg-P3-F08-MGH152,-2.0
BT786-P4-H03-BT786,-2.0
MGH105A-P4-C04-MGH105,-2.0
