patient,pseudopatient,metasig1,metasig2,metasig3,metasig4,metasig5,Macrophage,Oligodendrocyte,T-cell
MGH100,0,0.0,0.17647058823529413,0.058823529411764705,0.2647058823529412,0.5,0.0,0.0,0.0
MGH100,1,0.1,0.36666666666666664,0.26666666666666666,0.2,0.06666666666666667,0.0,0.0,0.0
MGH100,2,0.02857142857142857,0.2857142857142857,0.2571428571428571,0.42857142857142855,0.0,0.0,0.0,0.0
MGH100,3,0.1590909090909091,0.38636363636363635,0.022727272727272728,0.22727272727272727,0.20454545454545456,0.0,0.0,0.0
MGH101,0,0.0,0.26436781609195403,0.0,0.3448275862068966,0.0,0.39080459770114945,0.0,0.0
MGH101,1,0.0,0.12903225806451613,0.3225806451612903,0.3548387096774194,0.16129032258064516,0.03225806451612903,0.0,0.0
MGH102,0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.2727272727272727,0.5454545454545454,0.045454545454545456,0.0
MGH102,1,0.5660377358490566,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.24528301886792453,0.11320754716981132,0.0,0.0
MGH102,2,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.19607843137254902,0.0196078431372549,0.0196078431372549,0.0
MGH102,3,0.16666666666666666,0.0,0.08333333333333333,0.027777777777777776,0.7222222222222222,0.0,0.0,0.0
MGH104,0,0.0,0.3333333333333333,0.25,0.3888888888888889,0.027777777777777776,0.0,0.0,0.0
MGH104,1,0.016129032258064516,0.3870967741935484,0.3548387096774194,0.22580645161290322,0.016129032258064516,0.0,0.0,0.0
MGH104,2,0.019230769230769232,0.09615384615384616,0.15384615384615385,0.6730769230769231,0.057692307692307696,0.0,0.0,0.0
MGH104,3,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0
MGH104,4,0.0,0.30434782608695654,0.0,0.5217391304347826,0.17391304347826086,0.0,0.0,0.0
MGH105,0,0.0,0.3627450980392157,0.00980392156862745,0.00980392156862745,0.0196078431372549,0.5392156862745098,0.0392156862745098,0.0196078431372549
MGH105,1,0.01694915254237288,0.06779661016949153,0.0,0.15254237288135594,0.06779661016949153,0.576271186440678,0.0847457627118644,0.03389830508474576
MGH105,2,0.037037037037037035,0.07407407407407407,0.05555555555555555,0.2777777777777778,0.037037037037037035,0.4444444444444444,0.05555555555555555,0.018518518518518517
MGH105,3,0.02,0.48,0.06,0.06,0.02,0.34,0.02,0.0
MGH105,4,0.017241379310344827,0.08620689655172414,0.3103448275862069,0.10344827586206896,0.29310344827586204,0.15517241379310345,0.034482758620689655,0.0
MGH105,5,0.022222222222222223,0.6666666666666666,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.06666666666666667,0.044444444444444446,0.0
MGH105,6,0.041666666666666664,0.4583333333333333,0.041666666666666664,0.2708333333333333,0.1875,0.0,0.0,0.0
MGH106,0,0.02857142857142857,0.014285714285714285,0.02857142857142857,0.2857142857142857,0.04285714285714286,0.12857142857142856,0.0,0.4714285714285714
MGH106,1,0.08620689655172414,0.7241379310344828,0.06896551724137931,0.08620689655172414,0.034482758620689655,0.0,0.0,0.0
MGH110,0,0.09183673469387756,0.02040816326530612,0.10204081632653061,0.07142857142857142,0.2653061224489796,0.04081632653061224,0.37755102040816324,0.030612244897959183
MGH110,1,0.0,0.0,0.2,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.6571428571428571,0.05714285714285714
MGH110,2,0.027777777777777776,0.1111111111111111,0.08333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.2777777777777778,0.05555555555555555
MGH110,3,0.021739130434782608,0.17391304347826086,0.32608695652173914,0.13043478260869565,0.32608695652173914,0.0,0.021739130434782608,0.0
MGH113,0,0.05405405405405406,0.14864864864864866,0.0945945945945946,0.0945945945945946,0.14864864864864866,0.44594594594594594,0.0,0.013513513513513514
MGH113,1,0.0,0.09090909090909091,0.06060606060606061,0.24242424242424243,0.15151515151515152,0.3939393939393939,0.0,0.06060606060606061
MGH113,2,0.0,0.2702702702702703,0.16216216216216217,0.3783783783783784,0.1891891891891892,0.0,0.0,0.0
MGH115,0,0.0,0.6222222222222222,0.17777777777777778,0.08888888888888889,0.022222222222222223,0.08888888888888889,0.0,0.0
MGH115,1,0.05714285714285714,0.45714285714285713,0.02857142857142857,0.37142857142857144,0.02857142857142857,0.05714285714285714,0.0,0.0
MGH115,2,0.037037037037037035,0.4444444444444444,0.07407407407407407,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0
MGH121,0,0.0,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.16666666666666666,0.0,0.20833333333333334,0.0
MGH121,1,0.047619047619047616,0.47619047619047616,0.11904761904761904,0.2619047619047619,0.0,0.0,0.09523809523809523,0.0
MGH121,2,0.02631578947368421,0.07894736842105263,0.21052631578947367,0.10526315789473684,0.5263157894736842,0.0,0.05263157894736842,0.0
MGH121,3,0.04,0.08,0.08,0.32,0.44,0.0,0.04,0.0
MGH121,4,0.045454545454545456,0.3409090909090909,0.022727272727272728,0.3181818181818182,0.2727272727272727,0.0,0.0,0.0
MGH122,0,0.06382978723404255,0.2127659574468085,0.0425531914893617,0.02127659574468085,0.06382978723404255,0.40425531914893614,0.19148936170212766,0.0
MGH122,1,0.40816326530612246,0.08163265306122448,0.12244897959183673,0.04081632653061224,0.08163265306122448,0.16326530612244897,0.10204081632653061,0.0
MGH122,2,0.6585365853658537,0.07317073170731707,0.0,0.0,0.14634146341463414,0.04878048780487805,0.04878048780487805,0.024390243902439025
MGH122,3,0.42424242424242425,0.030303030303030304,0.030303030303030304,0.0,0.5151515151515151,0.0,0.0,0.0
MGH124,0,0.17073170731707318,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.0975609756097561,0.5365853658536586,0.024390243902439025,0.0
MGH124,1,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.1,0.5,0.0,0.0
MGH124,2,0.6923076923076923,0.0,0.057692307692307696,0.057692307692307696,0.0,0.19230769230769232,0.0,0.0
MGH124,3,0.7142857142857143,0.07142857142857142,0.0,0.023809523809523808,0.047619047619047616,0.14285714285714285,0.0,0.0
MGH124,4,0.7159090909090909,0.011363636363636364,0.011363636363636364,0.0,0.22727272727272727,0.03409090909090909,0.0,0.0
MGH124,5,0.06896551724137931,0.5862068965517241,0.20689655172413793,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0
MGH125,0,0.49557522123893805,0.0,0.008849557522123894,0.017699115044247787,0.02654867256637168,0.25663716814159293,0.1592920353982301,0.035398230088495575
MGH125,1,0.24242424242424243,0.0,0.030303030303030304,0.015151515151515152,0.19696969696969696,0.3333333333333333,0.12121212121212122,0.06060606060606061
MGH125,2,0.0967741935483871,0.0,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.45161290322580644,0.0967741935483871,0.12903225806451613
MGH125,3,0.14516129032258066,0.0,0.14516129032258066,0.04838709677419355,0.5,0.0967741935483871,0.03225806451612903,0.03225806451612903
MGH125,4,0.21428571428571427,0.0,0.07142857142857142,0.0,0.6428571428571429,0.0,0.07142857142857142,0.0
MGH128,0,0.32786885245901637,0.01639344262295082,0.11475409836065574,0.03278688524590164,0.09836065573770492,0.0,0.4098360655737705,0.0
MGH128,1,0.10810810810810811,0.5135135135135135,0.08108108108108109,0.24324324324324326,0.05405405405405406,0.0,0.0,0.0
MGH129,0,0.1875,0.15625,0.3125,0.03125,0.25,0.0,0.0625,0.0
MGH129,1,0.3,0.0,0.025,0.6,0.05,0.0,0.025,0.0
MGH129,2,0.15151515151515152,0.24242424242424243,0.21212121212121213,0.3333333333333333,0.06060606060606061,0.0,0.0,0.0
