,outlier,metasig1,metasig2,metasig3,metasig4,metasig5
MGH85-P3-D04-MGH85,0.5946636229469869,0.026188193921403286,0.0,0.1365129257605065,0.051742802505998435,0.19089245486510498
BT920-P4-D12-BT920,0.47079324482736223,0.021884946755013436,0.0,0.41069197953025216,0.03459233519340834,0.06203749369396371
MGH125-P3-B04-MGH125,0.5105716965678797,0.0,0.025130179542956866,0.2619954888521035,0.04965237087116478,0.15265026416589503
MGH143CD45neg-P9-C02-MGH143,0.47491143708606465,0.09934371898228903,0.24835929745572258,0.0,0.14721297066931943,0.030172575806604315
MGH125-P2-C02-MGH125,0.4843476298210294,0.025329404110538526,0.1013176164421541,0.18485075765775988,0.04003680004568993,0.16411779192282816
BT749-P8-G11-BT749,0.5553047288522215,0.0,0.0,0.12110369086670786,0.229511027045777,0.09408055323529371
MGH104-P6-A12-MGH104,0.42214766178521235,0.02207659965968585,0.02207659965968585,0.4373045592163303,0.07851435846710855,0.01788022121197697
MGH113-P9-D12-MGH113,0.5561549753333488,0.0,0.11633854075850662,0.0,0.09194497576075523,0.23556150814738946
BT749-P9-F11-BT749,0.544401670555615,0.056939970644847474,0.0,0.08904442217864446,0.06750141681284338,0.24211251980804982
BT786-P5-H03-BT786,0.5057488719943475,0.0,0.0,0.2481666672419072,0.010451463584560608,0.23563299717918462
BT1160-P2-G08-BT1160,0.42823912106331047,0.08958063246732514,0.0,0.37357029709778145,0.008849699578425267,0.09976024979315756
MGH125-P7-A07-MGH125,0.48086521519220937,0.026823773908681063,0.1609426434520864,0.08389563328885354,0.09539745398168026,0.15207528017648936
MGH128CD45neg-P4-F05-MGH128,0.49626736910653596,0.027682941678051663,0.0,0.2020265743738664,0.25160221992874376,0.022420894912802178
BT1160-P2-H05-BT1160,0.5136103341962794,0.05730074476747607,0.0,0.11947814866409905,0.1471797355519446,0.1624310368202008
MGH113-P10-A09-MGH113,0.49971031325590776,0.22299997652780643,0.0,0.0,0.1982721565499247,0.07901755366636116
BT1160-P1-F10-BT1160,0.4098680517569733,0.13718032752682371,0.0,0.33370817263617397,0.04517362936031157,0.07406981871971749
MGH152CD45neg-P1-C08-MGH152,0.4452542905005796,0.024837314163977907,0.2980477699677349,0.051788442299358195,0.039258980452739276,0.1408132026156103
MGH85-P2-H04-MGH85,0.49439012676266875,0.027578224758189683,0.0,0.2012623636608311,0.09808062192227139,0.17868866289603896
BT786-P6-E06-BT786,0.4038962474200351,0.4506053372577263,0.02253026686288631,0.023489001623009133,0.035612357299400946,0.06386678953694219
BT749-P8-D07-BT749,0.46714206201083147,0.28664091151957144,0.0,0.02716712701055899,0.10297217495937683,0.11607772449966115
BT786-P6-A02-BT786,0.5414595338451986,0.03020386515326958,0.03020386515326958,0.03148913601085552,0.011935398326695238,0.3547082015107114
