,0
0,CST3
1,B2M
2,SPARC
3,PTN
4,PON2
5,MT2A
6,MLC1
7,ITGA7
8,SLC1A3
9,RHOC
10,VIM
11,MRC2
12,GPM6B
13,PMP22
14,PMP2
15,CD63
16,EDNRB
17,PLTP
18,TIMP1
19,RHOJ
20,TNC
21,CNN3
22,ELOVL2
23,TTYH1
24,NEK6
25,WLS
26,MT3
27,AQP4
28,HOPX
29,LYPD1
30,LHFP
31,DAG1
32,F3
33,CD99
34,ATP1B2
35,ARHGEF26
36,CA2
37,PLIN3
38,SLC4A4
39,CTSA
40,ACSS3
41,FABP7
42,GNG5
43,DBI
44,ANXA5
45,RAMP1
46,GATM
47,LAMB2
48,METTL7B
49,CCDC80
50,CLU
51,GSTK1
52,EMP3
53,S100B
54,PTGFRN
55,DDAH1
56,SDC3
57,PCDH9
58,LOC100129034
59,EMP1
60,PREX1
61,DLC1
62,ADAM9
63,KCTD12
64,PEA15
65,S100A16
66,CRISPLD1
67,HLA-C
68,TMED10
69,IFITM3
70,ACSBG1
71,LGALS1
72,SIPA1L1
73,SLC1A2
74,TAGLN2
75,SERPINH1
76,GSTP1
77,EFEMP2
78,HLA-A
79,HTRA1
80,HLA-B
81,CAMK2D
82,TNFRSF19
83,ATP1A2
84,MSN
85,SPRY2
86,NEDD9
87,CD58
88,CLIC1
89,SCRN1
90,LGALS3BP
91,PTPRZ1
92,ALDOA
93,TNFRSF1A
94,CBR1
95,LMNA
96,AGT
97,FKBP9
98,PRCP
99,PLA2G5
100,PIPOX
101,RFXANK
102,NOTCH2
103,PSME1
104,TRIM9
105,PSRC1
106,SPATA6
107,IRF9
108,ACTN4
109,PRDX6
110,ABCD3
111,CDC42EP4
112,PPAP2B
113,CDH6
114,CD151
115,SNX3
116,CD164
117,RRBP1
118,SCP2
119,SEMA6A
120,HEPN1
121,COMT
122,PARP14
123,PSMB8
124,LAMA2
125,PLEKHG1
126,SUCLG2
127,DPF3
128,SRPX
129,RAB13
130,S100A6
131,SNX5
132,GAS7
133,ITGB8
134,S100A13
135,SEC14L1
136,PPP1CB
137,BCAP31
138,BBS2
139,FSTL1
140,SHROOM3
141,MATN2
142,GRN
143,GNG12
144,SSFA2
145,CANX
146,PDGFA
147,SFXN5
148,SEPW1
149,PEPD
150,PARP9
151,NFIC
152,RCAN1
153,HMG20B
154,SRI
155,FABP5
156,CHL1
157,ATP13A4
158,ELOVL1
159,C19orf70
160,LMO2
161,TSPAN3
162,AGTRAP
163,TJP1
164,NUCB1
165,MEOX2
166,MYL6
167,CIB1
168,ILK
169,HES1
170,FKBP5
171,SOCS2
172,LAP3
173,IFI6
174,CSRP1
175,SLC27A1
176,NOTCH2NL
177,TIMP3
178,RAB34
179,GPRC5B
180,CSRP2
181,HSPB1
182,DNPH1
183,FKBP10
184,MTRNR2L2
185,PPIC
186,SPARCL1
187,SDCBP
188,APP
189,SLC20A2
190,TRIP6
191,TMEM9B
192,HEG1
193,LRRC16A
194,SOX9
195,LAPTM4A
196,APLP2
197,SOD1
198,GSTM4
199,CAPN2
200,ATP6AP2
201,BBOX1
202,DTNA
203,SORBS1
204,ANXA2
205,C19orf60
206,MPC1
207,FIBIN
208,B3GLCT
209,ALK
210,MED12L
211,RGS6
212,SLC2A10
213,B4GAT1
214,MTRNR2L8
215,LPL
216,ARHGEF40
217,TMBIM6
218,ZFP36
219,PRDX5
220,CMTM3
221,PDPN
222,BCAP29
223,MOXD1
224,ATP5D
225,HLA-H
226,TAPBP
227,FUCA2
228,ITGAV
229,TMED1
230,AP1S2
231,IL6ST
232,TMEM205
233,ST5
234,HS2ST1
235,CXCL16
236,WWTR1
237,ATRAID
238,SH3PXD2B
239,LRP1
240,TMEM179B
241,AKAP13
242,NPNT
243,SEMA6D
244,ERGIC3
245,PLEKHB1
246,TMSB4X
247,CITED1
248,NMB
249,TRPM3
250,MAGT1
251,HADHB
252,CD9
253,PPT1
254,PSMB9
255,ANK2
256,GLIPR2
257,NDUFB7
258,S100A10
259,GCSH
260,LIFR
261,TTYH2
262,CRYZ
263,BLOC1S1
264,COPE
265,PLSCR1
266,CPNE5
267,LAMA4
268,ITM2C
269,RHOA
270,G6PC3
271,HIF1A
272,OSBPL3
273,SEPT2
274,TAP1
275,ADAMTS9
276,RABAC1
277,NDUFA13
278,FERMT2
279,FAM168A
280,LGALS3
281,COL4A2
282,HSDL2
283,PLA2G16
284,ECH1
285,GRIK1
286,PDGFC
287,PRDX1
288,TMEM161A
289,ZFYVE21
290,SERPINB6
291,ARHGEF6
292,SERF2
293,DECR1
294,ACADVL
295,ATP1A1
296,GALNT2
297,PIGT
298,RAB31
299,MTRNR2L1
300,NMI
301,ZC3HAV1
302,ACOT2
303,CALR
304,SORBS3
305,UQCR11
306,PLEKHA4
307,KDELR1
308,TP53I13
309,CASC4
310,MCC
311,PCDHGC3
312,ITGA6
313,EGFR
314,NDUFA1
315,ASAH1
316,PPP2R2B
317,OSBPL6
318,PTPRA
319,VAMP5
320,TRAM1
321,FLJ46906
322,GNG11
323,PRDM1
324,NPAS3
325,SLC25A18
326,BST2
327,ANXA1
328,GPR37L1
329,AIG1
330,TLK1
331,GNPTG
332,CTSB
333,ARAP2
334,TMBIM1
335,COL5A2
336,IQGAP1
337,EYA4
338,FAM46A
339,MOV10
340,RGMA
341,GSDMD
342,SLC39A1
343,DHRS4
344,BDH2
345,DOK5
346,HLA-E
347,TFCP2L1
348,CTNNA1
349,YIF1A
350,FAT1
351,RDX
352,SEPT7
353,STAT1
354,SNX17
355,ACYP2
356,COL4A1
357,ZFP36L2
358,SPPL2A
359,NES
360,ENKUR
361,PLS3
362,PTRF
363,ECI2
364,FLOT1
365,ITPR2
366,DAD1
367,TREX1
368,COL16A1
369,CD81
370,PGLS
371,TMEM129
372,TGFB3
373,HS3ST3B1
374,PEBP1
375,HEY1
376,FHL1
377,UTRN
378,KLHL4
379,MTRNR2L10
380,PER1
381,GBAS
382,NRSN2
383,TMEM63A
384,SYPL1
385,VAMP3
386,LAMTOR4
387,WASF3
388,ENDOD1
389,TM9SF1
390,TSC22D4
391,LOC100419583
392,TMBIM4
393,EPHA4
394,LAMP2
395,ANO6
396,TYRO3
397,BTBD3
398,ACOX2
399,MORN2
400,FEZ1
401,CCDC102B
402,NLRC5
403,POFUT1
404,DOCK1
405,RASA3
406,WASF2
407,COX5B
408,TMEM147
409,ALDH1L1
410,ALDH9A1
411,STAT3
412,SLC12A4
413,PSENEN
414,RHBDD2
415,PKM
416,PLAU
417,LINC00152
418,PNKD
419,FNDC3B
420,IL1RAP
421,SALL1
422,SFT2D1
423,SLC44A2
424,SUMF2
425,MOCS2
426,HSD17B12
427,HEXA
428,ARNTL
429,ADORA1
430,UGP2
431,CNIH3
432,MT1E
433,HSPB6
434,C6orf1
435,SLC18B1
436,SLC3A2
437,EFCAB14
438,GPR37
439,C8orf4
440,MMP14
441,BAD
442,ZFAND6
443,TRIM22
444,DGKG
445,HIGD1A
446,ENTPD2
447,TOMM7
448,LSS
449,RAP1B
450,PPIB
451,PTPMT1
452,ERAP1
453,OAS3
454,PREX2
455,SCHIP1
456,LPAR1
457,ALDH7A1
458,RAB1B
459,ITM2B
460,KANK2
461,TRIL
462,ENO1
463,CPQ
464,LRRN3
465,SCARA3
466,CHMP2A
467,MIR4435-2HG
468,PAM
469,EPS15
470,PFDN5
471,CNDP2
472,EVA1C
473,S100A11
474,ATP5F1
475,GPC4
476,C4orf3
477,C1orf54
478,MEIS1
479,MT1M
480,ZFP36L1
481,IFT57
482,DPY19L1
483,NEDD8
484,PDGFD
485,QTRT1
486,ATP5H
487,STARD7
488,KRTCAP2
489,IGFBP7
490,POLR2L
491,SEC11A
492,SSPN
493,PSME2
494,GAMT
495,SYNJ2
496,PJA2
497,PTGR1
498,RDH5
499,CAPNS1
500,GLI3
501,C11orf49
502,COL6A1
503,PDLIM2
504,PXN
505,CTSD
506,CRIM1
