bcell,epi,fibro
A1BG,0.338101477517555,0.184935397163509,0.389145132041651
A1BG-AS1,0.0427607941938258,0.0116466975998888,0.0626574670156678
A1CF,0,0,0
A2M,0.0739294924100419,0.0464108572356588,20.7469526671707
A2M-AS1,0.00396776742852574,0.00468408175519972,0.0111083825881015
A2ML1,0,0.0174015726994924,0.000559166184805207
A2ML1-AS1,0,5.42094632083002e-05,0
A2ML1-AS2,0,0,0
A4GALT,0.0602236734708245,0.0744615848992092,0.454988365984277
A4GNT,0.000319890756027254,0,0.000332203476090801
AAAS,0.0833111395530037,0.116595588462934,0.166826544514614
AACS,0.0282612060838791,0.143829392494285,0.0689300729651918
AADAC,0.000296979269421494,0.0102213389320016,0.00454178454076319
AADACL2,0,0,0.000652499212270326
AADACL2-AS1,0,1.40499729409464e-05,0
AADACL3,0,2.12842237840571e-05,0
AADACL4,0,0.000151824810883348,0
AADAT,7.21409780146618e-05,0.026743096878922,0.0331203054052065
AAED1,0.308039927329197,0.245602109543181,0.456007233109695
AAGAB,0.0765461685076198,0.191211311880099,0.125814947594891
AAK1,0.0536155464979575,0.274119010043356,0.406456511169719
AAMDC,0.0893242877311938,0.567962766659245,0.75301108708382
AAMP,0.292141033940732,0.591118325506995,0.610603911181333
AANAT,0.0013292766670506,0.0015526006591022,0.00154640582643221
AAR2,0.069889298326673,0.117536621399276,0.142703596342718
AARD,0.000581579047548879,0.076795615318423,0.00573263770255909
AARS,0.0865445906239254,0.247860343874668,0.216948593994098
AARS2,0.0144940557582377,0.0265782054722454,0.0419934890550108
AARSD1,0.139063045161813,0.0882771386333294,0.0981455061001571
AASDH,0.111190499074851,0.13331018749153,0.182005981812972
AASDHPPT,0.15001116536513,0.222161687745775,0.207047802870204
AASS,0.00864638658197955,0.0524007367418819,0.155390948734026
AATBC,0.000658580670439059,0.0233037348918721,0.000611785247471721
AATF,0.306901633607339,0.316218856535708,0.277716800277668
AATK,0.00206917206929318,0.0376824870198761,0.00385000916019084
AATK-AS1,0,0.000276240857194332,0
AB015752.3,0,5.67778752281003e-05,0
AB019440.50,7.43853154580065e-05,0.000332026999941964,0
ABALON,0.00145656185692946,0.00248825007558752,0.00272609820356275
ABAT,0.0389918548911238,0.0311816522002877,0.0260713580497383
ABC12-49244600F4.4,0,0.000353334016639835,0.0134337891417132
ABC7-42404400C24.1,0.000195953021438828,0.000257051613976239,0.000151652886802934
ABCA1,0.0663584876952638,0.220828443477317,0.463098113675811
ABCA10,0.00262259968831244,0.00353874413824371,0.106174157371881
ABCA12,0.000373584295348529,0.0386655017407471,0.000110037333796723
ABCA13,0.00030370217865957,0.0227271795408961,0.00344971257779963
ABCA2,0.0130223480761737,0.0838715317688947,0.0811846003771266
ABCA3,0.010909647444192,0.297984176635324,0.0168335871569726
ABCA4,0.000928031714521884,0.0690133635604459,0.00622347517222655
ABCA5,0.0707659597106054,0.146613843118472,0.117734276055746
ABCA6,0.0155196074952571,0.0026972330256052,0.471478005250724
ABCA7,0.0443744180427289,0.35661947970123,0.0158576561253446
ABCA8,0.000985520163874647,0.00411377725186506,1.09564765370509
ABCA9,0.000946798806117741,0.00149659765950978,0.200209204889467
ABCA9-AS1,0,0.00246607831415895,0
ABCB1,0.0259793786122928,0.00132003323843653,0.0243987616071905
ABCB10,0.0222754767016369,0.0652491634670973,0.0406502574525344
ABCB11,0,7.02037047686899e-05,0
ABCB4,0.124324137696146,0.00385193391251063,0.00996889279018225
ABCB5,0.000443258638933569,0.00052446544119834,0.00493568541173248
ABCB6,5.59499204347372e-05,0.00152143726555672,0.00287367084107902
ABCB7,0.146955458996777,0.10128027626367,0.120702302063124
ABCB8,0.0710193253520874,0.137603095225292,0.134756153498861
ABCB9,0.0347585756260249,0.0494109556919554,0.0188076197597052
ABCC1,0.0358761763509429,0.0782170521338272,0.0488246446969726
ABCC10,0.0144640507593054,0.0569951259336395,0.0401830683199549
ABCC11,0,0.000364485747287033,0.000437068648755506
ABCC12,0,0.000806966886233901,0.000853565721722467
ABCC2,0.00413279490833855,0.00197516013676944,0.000652499212270326
ABCC3,0.00943696056318164,1.18903945429196,0.0735265748961356
ABCC4,0.0197516572734534,0.244749013471308,0.0463624344628211
ABCC5,0.0322872079234384,0.123766649083869,0.10209381935944
ABCC5-AS1,0.000114467606583078,0.000116759933471329,0
ABCC6,0.00297043562932833,0.133285539585204,0.019083688318395
ABCC8,0,0.00135199097048652,0
ABCC9,0.00149212529534371,0.0137070508895262,0.277650410498304
ABCD1,0.0306221266534419,0.0551441145710775,0.0444521429836534
ABCD2,0.00786581703330829,0.000479881314219562,0.00594494125473192
ABCD3,0.0430013811397186,0.237676432346086,0.10338780349965
ABCD4,0.160945255921176,0.178733116803034,0.279350085505133
ABCE1,0.247252735124442,0.273318934480604,0.257430020322871
ABCF1,0.346140209922139,0.481334654956898,0.432348079557715
ABCF2,0.102772354955976,0.221020908805013,0.203843536681086
ABCF3,0.0876264625999675,0.11917430231516,0.120228532002301
ABCG1,0.231538118249748,0.0706919966862475,0.0721571581583934
ABCG2,0.00197078669391908,0.004456450812611,0.0246990039179467
ABCG4,0,0.000165185634517372,0.00431994787378738
ABCG5,0,0.000348514117668088,0.000364537646513604
ABCG8,0,0,0
ABHD1,0.00588328992685276,0.0104053402115429,0.00490933462475092
ABHD10,0.075654277043922,0.0593435664585039,0.0698346914874382
ABHD11,0.0607564122337773,0.748448073858073,0.109490963441852
ABHD11-AS1,0.00357382945109992,0.304692501358767,0.0099055650357422
ABHD12,0.100369127291596,0.524191546513317,0.280273455809008
